,placa,loc_latitude,loc_longitude,count
1032,BMX5307,722,4300,1
1033,KVL5070,9654,4859,1
1034,ABQ8874,7723,5667,1
1035,PDF4093,5825,9794,1
1036,ARC2652,472,5552,1
1037,NDQ3564,2434,2172,1
1038,ITL3321,5303,7658,1
1039,HYU3874,7428,4378,1
1040,OPE0986,5880,8554,2
1041,MRQ5194,472,5552,1
1042,HRV1061,53,5909,1
1043,OHQ9261,5466,1020,1
1044,BIS2343,9994,982,1
1045,LUJ4332,5000,4778,1
1046,ODT2896,7122,5194,1
1047,IGD6592,6288,81,1
1048,POZ0646,2833,1278,1
1049,HDX7409,4608,1990,2
1050,HCW2650,9612,8692,1
1051,OPR3690,3861,7458,1
1052,BON7210,3553,9819,9
1053,OUM7872,3522,1867,1
1054,GDS6533,3553,9819,2
1055,JDG7357,2850,4686,1
1056,JJS2278,472,5552,1
1057,ONS1372,3861,7458,1
1058,BYV3017,9222,5020,1
1059,BPM0194,5500,4917,1
1060,NOH6029,3861,7458,1
1061,OMC5061,472,5552,1
1062,JDS7988,5666,5667,1
1063,MQV5445,6333,6028,1
1064,PBN8176,4738,6727,1
1065,BIS1273,4608,1990,1
1066,POZ0646,9222,1778,2
1067,OFC0361,8412,89,1
1068,GRS1815,6050,6869,1
1069,BBO6140,7210,1962,1
1070,IMQ4436,1638,6794,1
1071,NPO5243,500,9278,1
1072,LDP6549,7944,8369,1
1073,OAS2091,461,4253,1
1074,PEM7943,5500,4917,1
1075,FYK8177,1932,8329,1
1076,OOR9095,3553,9819,1
1077,AIG8619,944,1277,1
1078,OFD8365,6072,9488,1
1079,KIL9927,3861,7458,1
1080,OOI6394,4853,8470,1
1081,OFS9866,8310,2494,1
1082,NOQ1700,472,5552,1
1083,MPQ4529,3944,7554,1
1084,OAF0538,8053,4258,2
1085,HPH6181,7944,8369,1
1086,ORI6201,1000,1194,1
1087,NQQ3484,6072,3056,1
1088,HOY7400,8053,4258,2
1089,NSQ3783,2555,528,1
1090,PDM1892,7122,5194,1
1091,NUD4992,6050,6869,1
1092,OFC0361,6794,1377,1
1093,PJM5681,3964,8994,1
1094,NOF8572,3522,1867,1
1095,PIW1914,3500,6325,1
1096,HIU2606,8525,2161,1
1097,POZ0646,224,9684,1
1098,BAR2653,7260,9133,1
1099,HUV5291,2556,2528,1
1100,FHM7731,8310,2494,1
1101,NBV9143,4111,7000,1
1102,OKN1774,764,6804,1
1103,OGM4544,9222,5020,1
1104,OIC9328,5500,4917,1
1105,HRP2869,7944,9952,1
1106,KFI9784,3088,6052,1
1107,PSM6081,1000,833,1
1108,IRI5225,5825,9794,1
1109,BGN5341,7210,1962,1
1110,ODI3248,5610,8083,1
1111,PMV7555,3476,8839,1
1112,OIS0736,6782,800,1
1113,PHO6271,2556,2528,1
1114,ITQ6325,7428,4378,1
1115,KDQ2009,7122,5194,1
1116,OHC1394,9994,982,1
1117,IBC0781,4856,2400,1
1118,OXM7542,2964,3758,1
1119,OCT4347,1000,1194,1
1120,BSS6950,5303,7658,1
1121,OFE0078,9556,4000,4
1122,OMS3145,4042,2203,2
1123,HIX5527,4853,8470,1
1124,OGS0383,1024,3153,1
1125,ONL6710,7388,5319,1
1126,NJN4139,8525,2161,1
1127,OCS6732,4853,8470,1
1128,HTY8055,3861,7458,1
1129,OKH3376,2633,875,1
1130,OCC4615,4316,3639,1
1131,ODS8321,1932,8329,1
1132,PKN0635,7260,9133,1
1133,PIM6070,4400,5106,1
1134,ODI3248,4853,8470,1
1135,FDM0525,6794,1377,1
1136,PRM0541,6050,6869,1
