,placa,loc_latitude,loc_longitude,count
3419,OEI9822,1382,4248,1
3420,MGU3632,1638,6794,1
3421,KZN6318,4400,5106,1
3422,OHT5578,3861,7458,1
3423,HDW7729,1708,1402,4
3424,BGM8980,5472,7792,1
3425,BYM5935,3476,8839,1
3426,NQO7323,9266,2925,2
3427,IAI1864,6072,9488,1
3428,KDQ3848,1708,1402,1
3429,OHH8512,2557,2056,1
3430,ONF4608,4042,2203,1
3431,NOQ3319,8653,2233,1
3432,OMG0026,8112,2056,1
3433,NDR4882,6794,1377,1
3434,OAZ3657,7428,4378,2
3435,OYR1085,5000,4778,1
3436,OYX7978,6775,7722,1
3437,OII2579,1010,9237,1
3438,PEI1712,3344,8755,1
3439,NBR4481,7260,9133,1
3440,KAO5601,9711,2269,1
3441,OAI1213,2422,8622,1
3442,HEY9658,8112,2056,1
3443,ONT7858,3553,9819,1
3444,PPN9937,7272,1070,1
3445,ODS0031,2634,9246,1
3446,HDX6246,9430,4736,1
3447,HGY9057,1772,1190,1
3448,NNU5267,3553,9819,1
3449,BSS6950,2822,0,1
3450,MVD8293,4944,9278,2
3451,ODC7182,6794,1377,1
3452,OKG8517,7723,5667,1
3453,BGN6594,1594,6300,1
3454,NTU0004,4082,6528,1
3455,INH9545,3500,6325,1
3456,HBL1769,2850,4686,1
3457,NAT0919,3553,9819,5
3458,NZO1004,2324,8727,1
3459,PWM9850,6050,6869,1
3460,PZM9361,132,5022,1
3461,NZO1004,5825,9794,4
3462,PSN6821,3596,4244,1
3463,ODC5319,6972,6478,1
3464,PSN6821,7833,7444,1
3465,PHM6869,6364,7267,1
3466,IIC2782,3976,6305,1
3467,IXX2751,3553,9819,1
3468,FPQ9550,4738,6727,1
3469,IYY5665,5010,8083,1
3470,NNM9716,1932,8329,1
3471,OSR6440,5332,4583,1
3472,EFY2915,5000,4778,1
3473,ODS0004,6782,800,2
3474,OOI6394,9666,833,1
3475,OPR7113,8711,2753,1
3476,OMS3145,802,2054,1
3477,OOI7055,8800,6081,1
3478,NCR5834,472,5552,1
3479,HDK4743,1010,9237,1
3480,OIR6297,1708,1402,1
3481,OXS2240,4204,725,1
3482,HMW0413,9388,472,1
3483,PQN6164,944,1277,1
3484,HND3251,2486,1840,1
3485,JTR5641,9654,4859,1
3486,HZM4014,5303,7658,1
3487,OAT9851,7134,4709,1
3488,BIS4273,4042,2203,1
3489,NNU5267,3720,2859,2
3490,ORR2039,2556,2528,1
3491,NQQ3281,6364,7267,1
3492,OAI4058,4316,3639,1
3493,HGV5630,1772,1190,1
3494,OZH6651,1772,1190,1
3495,ONI0585,1000,8542,1
3496,PDM2081,4144,3519,1
3497,PAD7293,6842,4782,1
3498,MVW2885,5000,4778,1
3499,KML9111,3444,967,1
3500,OMK4914,4944,9278,2
3501,HDY8225,6775,7722,1
3502,NDU9322,6842,4782,1
3503,PHM7298,1289,9660,1
3504,OUD7811,9612,8692,1
3505,KXO2761,2556,2528,1
3506,ODC9136,8310,2494,1
3507,NBI0540,2838,5619,1
3508,ATB6905,2403,9277,1
3509,INJ3163,6794,1377,1
3510,HIY1121,8653,2233,1
3511,OEZ7199,9388,472,2
3512,IJH3861,4117,2929,1
3513,HOY7400,6842,4782,1
3514,OYH5787,9711,2269,1
3515,OAZ2611,7272,1070,1
3516,OYH5787,4316,706,1
3517,ONI4084,7361,6353,1
3518,HIY3881,764,6804,1
3519,OGS8358,638,3103,1
3520,NPQ8733,3476,8839,1
3521,HUY1412,7361,6353,1
3522,NTU2691,1708,1402,1
3523,NDO5294,2967,3581,2
